,serohikino_goshu.txt,kumono_ito.txt,souseki_AI.txt,ginga_tetsudono_yoru.txt,rashomon.txt,sorekara.txt,kokoro.txt
どうせ,1.0,0.0,0.0,1.0,2.0,9.0,9.0
もっと,1.0,0.0,0.0,12.0,0.0,13.0,26.0
いくら,1.0,2.0,0.0,1.0,0.0,13.0,16.0
があがあ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
いかに,1.0,0.0,0.0,1.0,0.0,1.0,11.0
ぶるぶる,4.0,0.0,0.0,0.0,0.0,1.0,0.0
何がな,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ふくふく,1.0,0.0,0.0,0.0,0.0,0.0,0.0
まして,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ただ,1.0,3.0,1.0,0.0,6.0,107.0,114.0
どっかり,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ぐうぐう,1.0,0.0,0.0,0.0,0.0,2.0,0.0
ぞろぞろ,1.0,0.0,0.0,0.0,0.0,0.0,1.0
のそのそ,1.0,0.0,0.0,0.0,0.0,1.0,0.0
いよいよ,1.0,0.0,0.0,2.0,0.0,0.0,10.0
きっと,1.0,1.0,0.0,15.0,1.0,8.0,26.0
一そう,1.0,0.0,0.0,0.0,0.0,0.0,0.0
しいんと,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ちょうど,1.0,0.0,0.0,0.0,0.0,0.0,17.0
ひっそり,1.0,1.0,0.0,0.0,0.0,0.0,5.0
やはり,1.0,2.0,0.0,4.0,1.0,15.0,13.0
がぶがぶ,1.0,0.0,0.0,0.0,0.0,0.0,0.0
丁度,0.0,4.0,0.0,3.0,2.0,8.0,1.0
主に,0.0,1.0,0.0,1.0,1.0,1.0,0.0
ある,0.0,2.0,0.0,3.0,4.0,48.0,36.0
ぶらぶら,0.0,2.0,0.0,0.0,0.0,6.0,3.0
やがて,0.0,2.0,0.0,0.0,0.0,29.0,12.0
ふと,0.0,2.0,1.0,1.0,0.0,2.0,15.0
はっきり,0.0,1.0,0.0,8.0,1.0,0.0,2.0
いろいろ,0.0,1.0,0.0,5.0,0.0,0.0,0.0
早速,0.0,2.0,0.0,1.0,0.0,0.0,3.0
幸い,0.0,1.0,0.0,0.0,1.0,2.0,2.0
遥か,0.0,1.0,0.0,0.0,0.0,0.0,1.0
何しろ,0.0,1.0,0.0,0.0,0.0,4.0,6.0
たまに,0.0,2.0,0.0,0.0,0.0,7.0,7.0
さすが,0.0,1.0,0.0,0.0,0.0,2.0,1.0
元,0.0,1.0,0.0,0.0,1.0,2.0,0.0
より,0.0,1.0,2.0,0.0,1.0,5.0,7.0
しかし,0.0,2.0,1.0,1.0,6.0,4.0,214.0
やや,0.0,1.0,0.0,0.0,0.0,0.0,4.0
もし,0.0,1.0,0.0,2.0,0.0,40.0,38.0
折角,0.0,1.0,0.0,1.0,0.0,3.0,4.0
が,0.0,1.0,0.0,0.0,2.0,34.0,0.0
うようよ,0.0,1.0,0.0,0.0,0.0,0.0,0.0
せっせと,0.0,1.0,0.0,0.0,0.0,0.0,0.0
一体,0.0,1.0,0.0,2.0,0.0,5.0,3.0
ぷつり,0.0,1.0,0.0,0.0,0.0,2.0,0.0
くるくる,0.0,1.0,0.0,5.0,0.0,3.0,0.0
見る見る,0.0,1.0,0.0,0.0,0.0,1.0,0.0
